orig,dest,pair,prob,topic
1102,1009,"(1102,1009)",0.0015773166354293515,0
73,684,"(73,684)",0.0014916136469435347,0
87,1009,"(87,1009)",0.00135406764530377,0
73,914,"(73,914)",0.0013439818992523839,0
728,961,"(728,961)",0.001306506115203762,0
916,101,"(916,101)",0.001304434599178694,0
101,915,"(101,915)",0.0012546148815023046,0
775,1009,"(775,1009)",0.0012488329163683684,0
961,1056,"(961,1056)",0.001247328726726923,0
73,961,"(73,961)",0.0012359957283028405,0
869,101,"(869,101)",0.0012275450455691915,0
777,1009,"(777,1009)",0.0012242480548782957,0
775,961,"(775,961)",0.0011880431811996752,0
1101,962,"(1101,962)",0.0011840770827040417,0
869,1056,"(869,1056)",0.001160569252403613,0
776,914,"(776,914)",0.0011075029068707092,0
916,1056,"(916,1056)",0.0010636906047759537,0
1056,961,"(1056,961)",0.0010378312624477468,0
728,914,"(728,914)",0.0010093353965324576,0
635,821,"(635,821)",0.0009985482203397093,0
821,1055,"(821,1055)",0.0009928532230422714,0
73,1009,"(73,1009)",0.0009920141488298278,0
777,961,"(777,961)",0.0009841731349669446,0
1102,961,"(1102,961)",0.000967324460255288,0
681,915,"(681,915)",0.0009335323263759499,0
867,1009,"(867,1009)",0.0009239365031563491,0
962,775,"(962,775)",0.0009204455779063774,0
1009,775,"(1009,775)",0.0009112153946590984,0
914,728,"(914,728)",0.0008875723745744611,0
963,1056,"(963,1056)",0.0008833480374531877,0
963,73,"(963,73)",0.0008763618448472447,0
1007,914,"(1007,914)",0.000860269803871364,0
774,961,"(774,961)",0.0008554246392095459,0
101,1056,"(101,1056)",0.0008515828345869698,0
73,637,"(73,637)",0.0008514541480637967,0
914,777,"(914,777)",0.0008453122211110848,0
962,82,"(962,82)",0.0008409902367172096,0
728,634,"(728,634)",0.0008388303950474986,0
87,87,"(87,87)",0.0008315902878366068,0
1055,821,"(1055,821)",0.0008309828470139356,0
681,914,"(681,914)",0.0008306320425217329,0
