orig,dest,pair,prob,topic
14823,14669,"(14823,14669)",0.00507797215545081,2
14823,14515,"(14823,14515)",0.004712407158503636,2
14823,14822,"(14823,14822)",0.004139166132501625,2
14669,14823,"(14669,14823)",0.004082064257809973,2
15595,15595,"(15595,15595)",0.003777816090676014,2
14669,14669,"(14669,14669)",0.0037619826611788123,2
14977,14823,"(14977,14823)",0.003714685914213707,2
14978,14823,"(14978,14823)",0.003433044565088322,2
14669,14515,"(14669,14515)",0.003392366046872963,2
14516,14824,"(14516,14824)",0.0033907705698977514,2
14823,15285,"(14823,15285)",0.0032528060358630114,2
14823,14977,"(14823,14977)",0.0032389763267422606,2
14824,14976,"(14824,14976)",0.003104726684425544,2
14669,14513,"(14669,14513)",0.003098681948867437,2
14823,14513,"(14823,14513)",0.003076788135458971,2
14978,14824,"(14978,14824)",0.003055802765283419,2
14513,14515,"(14513,14515)",0.0029075465957725693,2
14823,14516,"(14823,14516)",0.0028909620565303385,2
14823,15131,"(14823,15131)",0.0028880926921344497,2
14823,1513,"(14823,1513)",0.0028859942439666887,2
14824,14977,"(14824,14977)",0.002822987677829609,2
14824,15131,"(14824,15131)",0.0027765576935461426,2
14824,14822,"(14824,14822)",0.002764644912275849,2
14824,14825,"(14824,14825)",0.0027607241436154156,2
14824,14513,"(14824,14513)",0.0027604514009502597,2
14515,14515,"(14515,14515)",0.0027201066100224127,2
15131,14823,"(15131,14823)",0.0026683043495577636,2
1467,14516,"(1467,14516)",0.002535754838622627,2
14825,14824,"(14825,14824)",0.0024516993025179784,2
14824,14668,"(14824,14668)",0.002417192268919215,2
14822,14824,"(14822,14824)",0.0024111534301009194,2
14977,14824,"(14977,14824)",0.0023959870780949095,2
15131,14824,"(15131,14824)",0.0023936675536707494,2
14824,14971,"(14824,14971)",0.002308617177186419,2
14823,14821,"(14823,14821)",0.0023064610436997444,2
14669,14516,"(14669,14516)",0.0022964435590234595,2
1467,17752,"(1467,17752)",0.0021996247925117137,2
14823,14667,"(14823,14667)",0.0021272386765407545,2
14513,14669,"(14513,14669)",0.002118880744695896,2
14976,14976,"(14976,14976)",0.0020638907431056934,2
14824,14514,"(14824,14514)",0.0020535526458186995,2
14824,1513,"(14824,1513)",0.0020406113753572027,2
14823,14976,"(14823,14976)",0.0020344871491531397,2
14824,14361,"(14824,14361)",0.0019923743461625343,2
14825,14823,"(14825,14823)",0.0019885421096657693,2
14824,15128,"(14824,15128)",0.0019877819669621363,2
17752,17752,"(17752,17752)",0.0019768994277855802,2
15285,14824,"(15285,14824)",0.0019663616669260346,2
14823,14971,"(14823,14971)",0.001882655813574467,2
14515,14823,"(14515,14823)",0.0018680535992785824,2
14823,14514,"(14823,14514)",0.0018676417171934133,2
14823,14979,"(14823,14979)",0.001861646720001022,2
14979,14824,"(14979,14824)",0.001858310864090809,2
1467,14513,"(1467,14513)",0.0018427779593058633,2
14516,14669,"(14516,14669)",0.0018344859043663985,2
15441,15441,"(15441,15441)",0.0018069313894891815,2
14669,14668,"(14669,14668)",0.0018014003737615383,2
